Day fraction since midnight on 	pH probe (pH)	air slope ()	air valve control ()	
0.602944004	6.92566824	0	NaN
0.602955577	6.895723343	0	NaN
0.602967158	6.855983257	0	NaN
0.602978727	6.878106117	0	NaN
0.6029903	6.896389484	0	NaN
0.603001908	6.895102501	0	NaN
0.603013455	7.053801537	0	NaN
0.603025037	7.037766457	0	NaN
0.603036611	6.876935959	0	NaN
0.603048184	6.854691982	0	NaN
0.603059757	6.867363453	0	NaN
0.603071336	6.830668449	0	NaN
0.603082898	6.866423607	0	NaN
0.603094483	6.930426598	0	NaN
0.603106056	6.889108181	0	NaN
0.603117625	6.890692711	0	NaN
0.6031292	6.867667198	0	NaN
0.603140765	6.863292217	0	NaN
0.60315238	6.84513855	0	NaN
0.603163917	6.852676868	0	NaN
0.603175511	6.85521555	0	NaN
0.603187081	6.833101273	0	NaN
0.603198642	6.829154015	0	NaN
0.603210226	6.823642731	0	NaN
0.603221802	6.835207939	0	NaN
0.603233355	6.809240341	0	NaN
0.603244949	6.854517937	0	NaN
0.603256503	6.788944721	0	NaN
0.6032681	6.822659016	0	NaN
0.603279664	6.799036503	0	NaN
0.603291232	6.814743996	0	NaN
0.603302801	6.790587902	0	NaN
0.603314404	6.819609642	0	NaN
0.603325957	6.792742252	0	NaN
0.603337522	6.830767155	0	NaN
0.603349125	6.806772709	0	NaN
0.603360685	6.806672096	0	NaN
0.603372261	6.804778099	0	NaN
0.60338383	6.795064449	0	NaN
0.603395412	6.787653446	0	NaN
0.603406973	6.792247295	0	NaN
0.603418569	6.804893494	0	NaN
0.603430134	6.804177284	0	NaN
0.603441708	6.805579186	0	NaN
0.603453275	6.783857822	0	NaN
0.603464837	6.788640976	0	NaN
0.603476411	6.782162666	0	NaN
0.603487986	6.803785801	0	NaN
0.603499593	6.786412716	0	NaN
0.603511133	6.860514164	0	NaN
0.603522727	6.757463455	0	NaN
0.603534293	6.753889084	0	NaN
0.603545856	6.750300884	0	NaN
0.603557452	6.782176018	0	NaN
0.603569025	6.759068489	0	NaN
0.603580606	6.771393776	0	NaN
0.603592154	6.750308037	0	NaN
0.603603752	6.776113987	0	NaN
0.603615324	6.739923	0	NaN
0.603626875	6.763317585	0	NaN
0.60363847	6.743710995	0	NaN
0.603650037	6.746982575	0	NaN
0.603661609	6.747942925	0	NaN
0.603673191	6.770745277	0	NaN
0.603684748	6.766764641	0	NaN
0.60369632	6.748484135	0	NaN
0.603707926	6.726189613	0	NaN
0.603719483	6.738652229	0	NaN
0.603731056	6.739975929	0	NaN
0.603742627	6.739520073	0	NaN
0.603754199	6.709821224	0	NaN
0.603765768	6.717018127	0	NaN
0.603777368	6.720652103	0	NaN
0.603788911	6.700875282	0	NaN
0.603800507	6.742919445	0	NaN
0.603812089	6.709002495	0	NaN
0.603823646	6.721205235	0	NaN
0.603835206	6.683185577	0	NaN
0.603846799	6.72547245	0	NaN
0.603858371	6.68363905	0	NaN
0.603869958	6.719411373	0	NaN
0.603881509	6.673626423	0	NaN
0.603893086	6.712378025	0	NaN
0.603904667	6.664244175	0	NaN
0.603916239	6.676796436	0	NaN
0.603927822	6.664576054	0	NaN
0.603939381	6.674469471	0	NaN
0.603950968	6.657842636	0	NaN
0.603962544	6.678294659	0	NaN
0.603974106	6.64653492	0	NaN
